iter|name|node_count|sparsity|distribution_name|mean|std|skewness|execution_time|Deltas|deltas
5|ff|25|0.4|normal|50|30|0|0.0019953250885009766|[74.0, 54.0, 2.0, 15.0, 56.0, 6.0, 19.0, 31.0, 9.0, 69.0, 2.0, 7.0, 59.0, 13.0, 43.0, 22.0, 34.0, 2.0, 16.0, 56.0, 28.0, 3.0, 8.0, False]|None
5|cs|25|0.4|normal|50|30|0|0.002991914749145508|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 4, 4, 2, 2, 1, 1]|[74.0, 54.0, 43.0, 69.0, 56.0, 56.0, 39.0, 19.0, 36.0, 22.0, 59.0, 34.0, 18.0, False, 9.0, 9.0, 9.0, 15.0, False, 4.0, False, 2.0, False, 1.0, False]
6|ff|25|0.5|normal|50|30|-10|0.0020258426666259766|[23.0, 28.0, 33.0, 24.0, 2.0, 25.0, 7.0, 21.0, 13.0, 17.0, 9.0, 2.0, 8.0, 21.0, 22.0, 1.0, 4.0, 17.0, 7.0, 7.0, 16.0, 2.0, 12.0, False]|None
6|cs|25|0.5|normal|50|30|-10|0.003019094467163086|[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4, 4, 4, 4, 2, 2, 2, 1]|[23.0, 25.0, 21.0, 28.0, 33.0, 24.0, 21.0, 17.0, 9.0, 8.0, 22.0, 13.0, 17.0, 16.0, 21.0, False, 5.0, 7.0, 7.0, False, 2.0, 2.0, False, False]
7|ff|25|0.5|normal|50|30|10|0.001994609832763672|[74.0, 53.0, 67.0, 53.0, 30.0, 51.0, 13.0, 33.0, 37.0, 66.0, 4.0, 23.0, 42.0, 25.0, 8.0, 93.0, 3.0, 14.0, 9.0, 21.0, 67.0, 49.0, 51.0, 29.0, 28.0, 4.0, 27.0, 15.0, False]|None
7|cs|25|0.5|normal|50|30|10|0.0029897689819335938|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 4, 4, 2, 2, 2, 1]|[74.0, 53.0, 67.0, 53.0, 30.0, 51.0, 33.0, 37.0, 66.0, 27.0, 38.0, 25.0, 29.0, 93.0, 25.0, 67.0, 54.0, 51.0, 24.0, 33.0, 27.0, False, 8.0, 14.0, False, 5.0, False, 3.0, 2.0, False, False]
8|ff|25|0.5|normal|50|30|0|0.002992391586303711|[23.0, 3.0, 31.0, 5.0, 36.0, 5.0, 15.0, 9.0, 33.0, 7.0, 31.0, 56.0, 17.0, 27.0, 2.0, 6.0, 2.0, 16.0, 7.0, 9.0, 11.0, 16.0, False]|None
8|cs|25|0.5|normal|50|30|0|0.002007007598876953|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 16, 16, 8, 8, 4, 4, 4, 4, 2, 2, 1, 1]|[36.0, 56.0, 33.0, 33.0, 41.0, 43.0, False, 23.0, 27.0, 31.0, 17.0, False, 10.0, False, 5.0, 4.0, 5.0, False, 2.0, False, 1.0, False]
9|ff|25|0.6|normal|50|30|-10|0.001994609832763672|[28.0, 31.0, 47.0, 1.0, 25.0, 7.0, 15.0, 17.0, 24.0, 33.0, 2.0, 44.0, 2.0, 2.0, 1.0, 1.0, 33.0, 4.0, 2.0, False]|None
9|cs|25|0.6|normal|50|30|-10|0.001995086669921875|[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4, 4, 4, 2, 2, 2, 2, 1]|[28.0, 31.0, 47.0, 26.0, 14.0, 25.0, 21.0, 33.0, 44.0, 33.0, False, 5.0, 4.0, False, 2.0, 3.0, 3.0, False, False]
10|ff|25|0.6|normal|50|30|10|0.0030260086059570312|[76.0, 50.0, 71.0, 12.0, 6.0, 55.0, 3.0, 15.0, 11.0, 71.0, 52.0, 7.0, 54.0, 51.0, 53.0, 3.0, 54.0, 6.0, 62.0, 4.0, 48.0, 10.0, False]|None
10|cs|25|0.6|normal|50|30|10|0.003988981246948242|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 8, 8, 8, 4, 4, 4, 2, 1, 1]|[76.0, 50.0, 71.0, 58.0, 44.0, 71.0, 52.0, 54.0, 51.0, 53.0, 54.0, 62.0, 48.0, False, False, 9.0, 10.0, False, 6.0, 4.0, False, False, 1.0, False]
11|ff|25|0.6|normal|50|30|0|0.003010272979736328|[48.0, 28.0, 3.0, 21.0, 17.0, 21.0, 13.0, 27.0, 41.0, 21.0, 13.0, 1.0, 2.0, 24.0, 39.0, 4.0, 12.0, 5.0, 33.0, 4.0, 26.0, 15.0, 36.0, False]|None
11|cs|25|0.6|normal|50|30|0|0.0030508041381835938|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 4, 4, 2, 2, 2, 1, 1]|[48.0, 28.0, 24.0, 17.0, 21.0, 27.0, 41.0, 28.0, 42.0, 24.0, 18.0, 21.0, 21.0, 24.0, 51.0, False, 10.0, False, 4.0, False, 2.0, 2.0, False, 1.0, False]
12|ff|25|0.8|normal|50|30|-10|0.0010232925415039062|[28.0, 9.0, 10.0, 35.0, 9.0, 2.0, 12.0, 2.0, 9.0, 8.0, 29.0, 9.0, 12.0, 2.0, 47.0, 2.0, False]|None
12|cs|25|0.8|normal|50|30|-10|0.000997781753540039|[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4, 2, 2, 2, 2, 1]|[28.0, 9.0, 10.0, 35.0, 9.0, 12.0, 11.0, 8.0, 29.0, 9.0, 12.0, 47.0, False, False, 2.0, 2.0, 2.0, False, False]
13|ff|25|0.8|normal|50|30|10|0.0019674301147460938|[83.0, 66.0, 63.0, 12.0, 18.0, 66.0, 42.0, 39.0, 7.0, 7.0, 56.0, 22.0, 6.0, 15.0, 51.0, 22.0, False]|None
13|cs|25|0.8|normal|50|30|10|0.0020074844360351562|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 4, 4, 4, 2, 2, 1, 1]|[83.0, 66.0, 63.0, 18.0, 66.0, 50.0, 38.0, 56.0, 21.0, 18.0, 51.0, 21.0, False, 12.0, False, 4.0, 4.0, False, 3.0, False, 1.0, False]
14|ff|25|0.8|normal|50|30|0|0.0009980201721191406|[39.0, 7.0, 18.0, 27.0, 13.0, 42.0, 29.0, 4.0, 22.0, 9.0, 8.0, 15.0, 74.0, 2.0, 27.0, 2.0, 9.0, 9.0, 37.0, 33.0, False]|None
14|cs|25|0.8|normal|50|30|0|0.002994537353515625|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 4, 4, 4, 2, 2, 1, 1, 1]|[39.0, 18.0, 34.0, 32.0, 42.0, 21.0, 22.0, 74.0, 27.0, 37.0, 33.0, False, 12.0, 8.0, 10.0, False, 6.0, 7.0, False, 2.0, False, 1.0, 1.0, False]
15|ff|50|0.2|normal|50|30|-10|0.020923614501953125|[34.0, 49.0, 19.0, 4.0, 22.0, 7.0, 21.0, 14.0, 22.0, 30.0, 2.0, 39.0, 32.0, 2.0, 6.0, 13.0, 31.0, 27.0, 4.0, 13.0, 5.0, 19.0, 21.0, 1.0, 6.0, 39.0, 3.0, 39.0, 6.0, 29.0, 15.0, 7.0, 12.0, 16.0, 23.0, 2.0, 3.0, 7.0, 14.0, 24.0, 28.0, 29.0, 6.0, 14.0, 5.0, 21.0, 34.0, 22.0, 22.0, 15.0, 1.0, 1.0, 11.0, 8.0, 18.0, 13.0, 4.0, 30.0, 7.0, 1.0, 16.0, 8.0, 13.0, 8.0, 3.0, 8.0, 2.0, 39.0, 26.0, 13.0, 18.0, 1.0, 6.0, False]|None
15|cs|50|0.2|normal|50|30|-10|0.01699233055114746|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]|[34.0, 49.0, 34.0, 26.0, 18.0, 20.0, 18.0, 27.0, 18.0, 27.0, 22.0, 35.0, 27.0, 16.0, 39.0, 21.0, 28.0, 29.0, 25.0, 26.0, 34.0, 19.0, 24.0, 39.0, 39.0, 32.0, 27.0, 18.0, 23.0, 29.0, 30.0, 22.0, 17.0, 18.0, 22.0, 22.0, 23.0, 39.0, False, 12.0, 10.0, 8.0, 8.0, 11.0, 12.0, False, 4.0, 4.0, 5.0, 6.0, 6.0, 5.0, 5.0, False, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0, False, 1.0, 1.0, 1.0, 1.0, False]
16|ff|50|0.2|normal|50|30|10|0.012973785400390625|[53.0, 15.0, 5.0, 78.0, 11.0, 15.0, 29.0, 2.0, 55.0, 23.0, 5.0, 52.0, 24.0, 22.0, 56.0, 51.0, 20.0, 55.0, 66.0, 74.0, 57.0, 52.0, 16.0, 64.0, 11.0, 59.0, 57.0, 15.0, 2.0, 29.0, 48.0, 15.0, 54.0, 3.0, 51.0, 4.0, 73.0, 62.0, 44.0, 21.0, 56.0, 62.0, 24.0, 8.0, 56.0, 71.0, 3.0, 6.0, 5.0, 56.0, 24.0, 74.0, 60.0, 60.0, 40.0, 64.0, 76.0, 21.0, 2.0, 54.0, 54.0, 31.0, 20.0, 24.0, 23.0, 9.0, 7.0, 11.0, 7.0, 52.0, 65.0, 6.0, False]|None
16|cs|50|0.2|normal|50|30|10|0.010957002639770508|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 16, 16, 16, 16, 16, 16, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 1, 1]|[53.0, 78.0, 46.0, 55.0, 32.0, 56.0, 55.0, 51.0, 66.0, 74.0, 57.0, 52.0, 64.0, 59.0, 57.0, 67.0, 54.0, 51.0, 73.0, 62.0, 48.0, 56.0, 71.0, 52.0, 33.0, 56.0, 74.0, 60.0, 60.0, 40.0, 64.0, 76.0, 54.0, 62.0, 51.0, 79.0, 52.0, 65.0, 56.0, 62.0, False, 23.0, 19.0, 16.0, 17.0, 21.0, 26.0, 24.0, 21.0, False, 11.0, 11.0, 8.0, 11.0, False, 4.0, 4.0, 4.0, 5.0, 6.0, False, 3.0, 2.0, 3.0, 2.0, 2.0, 2.0, False, 1.0, False]
17|ff|50|0.2|normal|50|30|0|0.016988515853881836|[43.0, 74.0, 74.0, 3.0, 16.0, 5.0, 34.0, 39.0, 68.0, 43.0, 7.0, 4.0, 14.0, 35.0, 27.0, 13.0, 24.0, 41.0, 1.0, 11.0, 11.0, 55.0, 49.0, 49.0, 33.0, 58.0, 12.0, 4.0, 48.0, 1.0, 51.0, 19.0, 12.0, 24.0, 5.0, 78.0, 38.0, 40.0, 7.0, 16.0, 18.0, 22.0, 10.0, 23.0, 36.0, 2.0, 10.0, 70.0, 60.0, 72.0, 16.0, 28.0, 16.0, 22.0, 1.0, 31.0, 23.0, 21.0, 9.0, 22.0, 13.0, 11.0, 9.0, 3.0, 23.0, 41.0, 19.0, 42.0, 35.0, 1.0, 17.0, 19.0, 16.0, 12.0, 3.0, 31.0, 2.0, 14.0, 24.0, 14.0, False]|None
