iter|name|node_count|density|distribution_name|mean|std|skewness|execution_time|Deltas|deltas
5|cs_bfs|25|0.4|normal|50|30|0|0.0029990673065185547|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 4, 4, 2, 2, 1, 1]|[43.0, 52.0, 37.0, 35.0, 54.0, 63.0, 28.0, 42.0, 19.0, 17.0, 58.0, 16.0, 27.0, 50.0, 16.0, False, 11.0, 8.0, False, 4.0, False, 3.0, False, 1.0, False]
5|cs_dfs|25|0.4|normal|50|30|0|0.001996278762817383|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 4, 2, 2, 1, 1]|[28.0, 63.0, 54.0, 16.0, 23.0, 52.0, 28.0, 17.0, 35.0, 37.0, 22.0, 50.0, 18.0, 23.0, 43.0, 23.0, 19.0, False, 10.0, 11.0, 8.0, False, False, 3.0, False, 1.0, False]
6|cs_bfs|25|0.5|normal|50|30|-10|0.0019979476928710938|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 4, 4, 4, 2, 2, 1, 1, 1, 1]|[45.0, 42.0, 29.0, 31.0, 21.0, 34.0, 26.0, 24.0, 20.0, 19.0, 22.0, 16.0, False, 11.0, 8.0, False, 6.0, 4.0, False, 3.0, False, 1.0, 1.0, 1.0, False]
6|cs_dfs|25|0.5|normal|50|30|-10|0.001996755599975586|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 4, 4, 2, 2, 2, 1, 1]|[45.0, 34.0, 17.0, 17.0, 19.0, 24.0, 19.0, 21.0, 29.0, 20.0, 42.0, 16.0, 31.0, False, 9.0, 9.0, False, 6.0, False, 3.0, 2.0, False, 1.0, False]
7|cs_bfs|25|0.5|normal|50|30|10|0.002997875213623047|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 4, 4, 4, 2, 1]|[64.0, 50.0, 83.0, 63.0, 81.0, 69.0, 48.0, 80.0, 46.0, 80.0, 53.0, 53.0, 82.0, 27.0, 31.0, 74.0, 22.0, 22.0, 48.0, 29.0, False, 8.0, 13.0, False, 7.0, 5.0, False, False, False]
7|cs_dfs|25|0.5|normal|50|30|10|0.002996683120727539|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 4, 4, 4, 2, 1]|[64.0, 82.0, 53.0, 80.0, 48.0, 83.0, 36.0, 50.0, 20.0, 53.0, 20.0, 28.0, 80.0, 46.0, 22.0, 69.0, 81.0, 63.0, 51.0, 21.0, 29.0, 34.0, False, 11.0, False, 7.0, 7.0, False, False, False]
8|cs_bfs|25|0.5|normal|50|30|0|0.00299835205078125|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 4, 4, 4, 4, 2, 2, 1, 1]|[71.0, 24.0, 19.0, 45.0, 37.0, 19.0, 18.0, 42.0, 17.0, 28.0, 27.0, 27.0, 32.0, 23.0, 21.0, 29.0, 24.0, 33.0, 44.0, 36.0, False, False, 7.0, 6.0, 5.0, False, 2.0, False, 1.0, False]
8|cs_dfs|25|0.5|normal|50|30|0|0.003996610641479492|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 4, 4, 4, 4, 2, 2, 1, 1]|[71.0, 42.0, 24.0, 23.0, 36.0, 18.0, 18.0, 25.0, 22.0, 19.0, 49.0, 37.0, 19.0, 22.0, 22.0, 45.0, 17.0, 42.0, 28.0, 17.0, False, 11.0, 9.0, False, 4.0, 6.0, 7.0, False, 3.0, False, 1.0, False]
9|cs_bfs|25|0.6|normal|50|30|-10|0.002000570297241211|[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4, 4, 2, 2, 1]|[24.0, 21.0, 29.0, 21.0, 16.0, 11.0, 17.0, 12.0, 12.0, 25.0, 21.0, 12.0, 13.0, 9.0, False, 6.0, False, 2.0, False, False]
9|cs_dfs|25|0.6|normal|50|30|-10|0.002005338668823242|[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4, 4, 2, 2, 1]|[29.0, 13.0, 29.0, 21.0, 24.0, 9.0, 20.0, 8.0, 27.0, 8.0, 9.0, 9.0, 8.0, 12.0, 19.0, False, 4.0, False, 2.0, False, False]
