iter|name|node_count|density|distribution_name|mean|std|skewness|execution_time|Deltas|deltas
5|cs_bfs|25|0.4|normal|50|30|0|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 4, 2, 2, 1]|[17.0, 18.0, 62.0, 46.0, 16.0, 38.0, 54.0, 35.0, 87.0, 21.0, 26.0, 37.0, 18.0, 42.0, 29.0, 35.0, 26.0, 56.0, 66.0, 24.0, 25.0, 22.0, False, 13.0, 8.0, 11.0, 13.0, False, False, 3.0, False, False]
5|cs_dfs|25|0.4|normal|50|30|0|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
6|cs_bfs|25|0.5|normal|50|30|-10|0.0|[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4, 4, 4, 2, 1]|[10.0, 37.0, 39.0, 17.0, 15.0, 31.0, 12.0, 34.0, 13.0, 9.0, 35.0, 10.0, 24.0, 27.0, 14.0, 14.0, 9.0, 10.0, 20.0, False, 7.0, 5.0, False, False, False]
6|cs_dfs|25|0.5|normal|50|30|-10|0.0|[8.0, 4, 2, 1]|[False, False, False, False]
7|cs_bfs|25|0.5|normal|50|30|10|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 4, 4, 2, 1]|[49.0, 59.0, 50.0, 69.0, 56.0, 57.0, 46.0, 56.0, 34.0, False, 12.0, False, 5.0, False, False, False]
7|cs_dfs|25|0.5|normal|50|30|10|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
8|cs_bfs|25|0.5|normal|50|30|0|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 4, 2, 1]|[79.0, 23.0, 77.0, 37.0, 75.0, 64.0, 53.0, 79.0, 31.0, 20.0, 31.0, 28.0, 57.0, 18.0, 28.0, 29.0, False, 8.0, 8.0, 8.0, 8.0, False, False, False, False]
8|cs_dfs|25|0.5|normal|50|30|0|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
9|cs_bfs|25|0.6|normal|50|30|-10|0.0|[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4, 4, 4, 2, 2, 2, 1]|[48.0, 24.0, 37.0, 29.0, 44.0, 38.0, 10.0, 24.0, 15.0, 19.0, 14.0, 15.0, 16.0, 22.0, False, 4.0, 4.0, False, 3.0, 3.0, False, False]
9|cs_dfs|25|0.6|normal|50|30|-10|0.0|[8.0, 4, 2, 1]|[False, False, False, False]
